date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:08	140891/140891	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Nov%202021%2004:27:12%20GMT	https://www.usspestcon.in/images/gal27.jpg	C:/Desktop/htttrack/allthebest/pest%202/www.usspestcon.in/images/gal27.jpg	(from https://www.usspestcon.in/gallery.html)
20:38:10	133373/133373	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Nov%202021%2004:27:20%20GMT	https://www.usspestcon.in/images/gal28.jpg	C:/Desktop/htttrack/allthebest/pest%202/www.usspestcon.in/images/gal28.jpg	(from https://www.usspestcon.in/gallery.html)
20:38:10	175665/175665	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Nov%202021%2004:27:04%20GMT	https://www.usspestcon.in/images/gal26.jpg	C:/Desktop/htttrack/allthebest/pest%202/www.usspestcon.in/images/gal26.jpg	(from https://www.usspestcon.in/gallery.html)
20:38:11	167468/167468	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Nov%202021%2004:27:28%20GMT	https://www.usspestcon.in/images/gal29.jpg	C:/Desktop/htttrack/allthebest/pest%202/www.usspestcon.in/images/gal29.jpg	(from https://www.usspestcon.in/gallery.html)
20:38:36	45918/45918	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Nov%202021%2004:28:04%20GMT	https://www.usspestcon.in/images/gal32.jpg	C:/Desktop/htttrack/allthebest/pest%202/www.usspestcon.in/images/gal32.jpg	(from https://www.usspestcon.in/gallery.html)
20:38:37	105424/105424	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Nov%202021%2004:27:46%20GMT	https://www.usspestcon.in/images/gal31.jpg	C:/Desktop/htttrack/allthebest/pest%202/www.usspestcon.in/images/gal31.jpg	(from https://www.usspestcon.in/gallery.html)
20:39:00	17589/17589	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Dec%202021%2019:09:42%20GMT	https://www.usspestcon.in/images/client-logo/logo17.jpg	C:/Desktop/htttrack/allthebest/pest%202/www.usspestcon.in/images/client-logo/logo17.jpg	(from https://www.usspestcon.in/clientele.html)
20:39:30	18486/18486	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Dec%202021%2019:10:22%20GMT	https://www.usspestcon.in/images/client-logo/logo19.jpg	C:/Desktop/htttrack/allthebest/pest%202/www.usspestcon.in/images/client-logo/logo19.jpg	(from https://www.usspestcon.in/clientele.html)
20:39:33	19845/19845	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Dec%202021%2019:10:36%20GMT	https://www.usspestcon.in/images/client-logo/logo20.jpg	C:/Desktop/htttrack/allthebest/pest%202/www.usspestcon.in/images/client-logo/logo20.jpg	(from https://www.usspestcon.in/clientele.html)
20:39:33	18170/18170	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Dec%202021%2019:11:16%20GMT	https://www.usspestcon.in/images/client-logo/logo22.jpg	C:/Desktop/htttrack/allthebest/pest%202/www.usspestcon.in/images/client-logo/logo22.jpg	(from https://www.usspestcon.in/clientele.html)
